,Unnamed: 0,Unnamed: 1,Unnamed: 2,Missing values,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
23,a2,Student questionnaire,Categorical,0.1052374,0.09656704,0.06620862,0.081557,0.06768838,0.04802432,0.05846713,0.05894865,1,1,No,No,No,Birth year
24,a3a,Student questionnaire,Categorical,0.12574645,0.12249529,0.06589631,0.08124807,0.06417625,1,1,0.12336676,1,0.12910798,No,No,No,Living with the mother
25,a3b,Student questionnaire,Categorical,0.18937837,0.20211482,0.06589631,0.08124807,0.06417625,1,1,0.35460346,1,0.37411972,No,No,No,Living the father
26,living_with_father_mother,Student questionnaire,Categorical,0.19686735,0.21186809,0.06589631,0.08124807,0.06417625,1,1,0.38802796,1,0.40757042,No,No,Yes,Transformation of a3a and a3b. Living with the father and the mother
27,a3c,Student questionnaire,Categorical,0.26696035,0.27656801,0.06589631,0.08124807,0.06417625,1,1,0.48435126,1,0.52024648,No,No,No,Living with brother/sister
28,a3d,Student questionnaire,Categorical,0.50895742,0.53836126,0.06589631,0.08124807,0.06417625,1,1,0.90641143,1,0.91901408,No,No,No,Living with other relatives
29,a3et,Student questionnaire,Categorical,0.57596672,0.60026073,0.06589631,0.08124807,0.06417625,1,1,0.92950471,1,0.94366197,No,No,No,Living with other people
30,a3f,Student questionnaire,Categorical,1,1,1,1,1,1,1,0.98966879,1,0.98943662,No,No,No,Living in foster homes
31,a4,Student questionnaire,Categorical,0.13729809,0.17966298,0.06589631,0.08124807,0.06417625,0.05136778,0.05877007,1,0.09901788,1,Yes,Yes,No,Has repeated one or two times
32,repeater,Student questionnaire,Categorical,0.13729809,0.17966298,0.06589631,0.08124807,0.06417625,0.05136778,0.05877007,1,0.09901788,1,Yes,Yes,Yes,Transformation of A4. Has repeated one or more times
33,a5,Student questionnaire,Categorical,0.11512482,0.10279562,0.06589631,0.08124807,1,0.05106383,0.05816419,1,0.09861496,1,No,Yes,No,Frequency has missed class unexcused this course
34,a6nm,Student questionnaire,Continuous,0.41864905,0.31065617,0.24203623,0.20852641,1,1,1,1,1,1,No,Yes,No,homework hours/day
35,a7,Student questionnaire,Categorical,0.10195791,0.09033847,0.06589631,0.08124807,1,0.05167173,0.05816419,1,0.09921934,1,No,Yes,No,homework days/week
36,a8a,Student questionnaire,Categorical,0.12153696,0.11119695,0.06589631,0.08124807,0.06417625,1,0.05967889,0.05803707,0.10062956,0.06308685,No,Yes,No,Frequency of computer use at home
37,a8b,Student questionnaire,Categorical,0.18179148,0.1459128,0.06589631,0.08124807,0.06417625,1,0.06028476,0.06259496,0.1017376,0.07012911,No,Yes,No,Frequency of computer use at school
38,a8c,Student questionnaire,Categorical,0.19745472,0.16551591,1,0.08124807,0.06417625,1,0.06149652,0.06289881,0.10430622,0.07306338,No,No,No,Frequency of computer use elsewhere
39,a09a,Student questionnaire,Categorical,1,1,1,1,1,1,1,0.0607718,1,0.06631455,No,No,No,Degree of agreement: Students pay attention to what the teachers say
40,a09b,Student questionnaire,Categorical,1,1,1,1,1,1,1,0.06137952,1,0.06602113,No,No,No,Degree of agreement: There is silence and order
41,a09c,Student questionnaire,Categorical,1,1,1,1,1,1,1,0.06168338,1,0.06514085,No,No,No,Degree of agreement: The teacher has to wait a long time for the students to shut up
42,a09d,Student questionnaire,Categorical,1,1,1,1,1,1,1,0.06168338,1,0.06690141,No,No,No,Degree of agreement: Students can work in good conditions
43,a09e,Student questionnaire,Categorical,1,1,1,1,1,1,1,0.06198724,1,0.06660798,No,No,No,Degree of agreement: Students do not start working long after the class has started
44,a9a,Student questionnaire,Categorical,0.12085169,0.10651345,1,0.08124807,0.06417625,1,0.05877007,0.05742935,0.10022664,0.06279343,No,No,No,Frequency I use the internet: information about studies
45,a9b,Student questionnaire,Categorical,0.14508076,0.12210902,1,0.08124807,0.06417625,1,0.05907301,0.05864479,0.10219088,0.06455399,No,No,No,Frequency I use the internet: play/search for info about games
46,a9c,Student questionnaire,Categorical,0.15433186,0.1253923,1,0.08124807,0.06417625,1,0.05967889,0.05986022,0.102896,0.06455399,No,No,No,Frequency I use the internet: search for information on sports
47,a9d,Student questionnaire,Categorical,0.1473813,0.12046738,1,0.08124807,0.06417625,1,0.05907301,0.05955637,0.10224125,0.06484742,No,No,No,Frequency I use the Internet: search for information about music
48,a9e,Student questionnaire,Categorical,0.14909447,0.12104679,1,0.08124807,0.06417625,1,0.05877007,0.06016408,0.10360111,0.06484742,No,No,No,Frequency I use the Internet: search for information on other topics
49,a9f,Student questionnaire,Categorical,0.15017132,0.12032253,1,0.08124807,0.06417625,1,0.05877007,0.05955637,0.10244271,0.06396714,No,No,No,Frequency I use the internet: communicate with other people
50,a9g,Student questionnaire,Categorical,1,1,1,0.08124807,0.06417625,1,0.05877007,0.05955637,0.10239234,0.06367371,No,No,No,Frequency I use the internet: use of social media networks
51,a10a,Student questionnaire,Categorical,0.12814488,0.11419053,0.06589631,0.08124807,0.06417625,0.05288754,0.05877007,0.0622911,0.09906824,0.0657277,No,No,No,Work with teachers: they explain most of the class
52,a10b,Student questionnaire,Categorical,0.13857073,0.1157356,0.06589631,0.08124807,0.06417625,0.05714286,0.05877007,0.06259496,0.09962226,0.06631455,No,No,No,Work with teachers: we do presentations of certain topics
53,a10c,Student questionnaire,Categorical,0.1372002,0.12017768,0.06589631,0.08124807,0.06417625,0.05592705,0.05937595,0.06289881,0.10052883,0.06690141,No,No,No,Work with teachers: while they explain they ask us
54,a10d,Student questionnaire,Categorical,0.13450808,0.11177635,0.06589631,0.08124807,0.06417625,0.05714286,0.05846713,0.06320267,0.1004281,0.06631455,No,No,No,"Work with teachers: while they explain, we ask them"
55,a10e,Student questionnaire,Categorical,0.14238864,0.1160253,1,0.08124807,0.06417625,1,0.05907301,0.06259496,0.10067993,0.06631455,No,No,No,Work with teachers: we make debates
56,a10f,Student questionnaire,Categorical,0.13108174,0.10945874,0.06589631,0.08124807,0.06417625,1,0.05998182,0.06320267,0.10047847,0.06660798,No,No,No,Work with teachers: we do exercises
57,a10g,Student questionnaire,Categorical,0.13636809,0.1119212,0.06589631,0.08124807,0.06417625,1,0.05967889,0.06289881,0.10133468,0.06631455,No,No,No,Work with teachers: we work individually
58,a10h,Student questionnaire,Categorical,0.14557024,0.11776351,0.06589631,0.08124807,0.06417625,0.0556231,0.05998182,0.06381039,0.10123395,0.06748826,No,No,No,Work with teachers: we work in small groups
59,a10i,Student questionnaire,Categorical,0.14904552,0.11993627,1,0.08124807,0.06417625,1,0.06028476,0.06259496,0.10198942,0.06719484,No,No,No,Work with teachers: we take notes
60,a10j,Student questionnaire,Categorical,0.13984337,0.11327314,0.06589631,0.08124807,0.06417625,1,0.05998182,0.06411425,0.10148577,0.06778169,No,No,No,Work with teachers: we study individually and then they ask us
61,a10k,Student questionnaire,Categorical,0.14140969,0.11409396,1,1,1,1,1,1,1,1,No,No,No,Work with teachers: They introduce the activitities
62,a10l,Student questionnaire,Categorical,0.13680861,0.11090725,1,1,1,1,1,1,1,1,No,No,No,Work with teachers: they make us feel good
63,a10m,Student questionnaire,Categorical,1,1,1,1,0.06417625,1,1,0.0622911,1,0.0689554,No,No,No,Work with teachers: I listen to the explanation
64,a10n,Student questionnaire,Categorical,1,1,1,1,0.06417625,1,1,0.06259496,1,0.06719484,No,No,No,Work with teachers: I understand what they explain
65,a11a,Student questionnaire,Categorical,0.12280959,0.10762397,0.06589631,0.08124807,0.06417625,0.05653495,0.05967889,0.06411425,0.10168723,0.06807512,No,No,No,Materials in class: textbook
66,a11b,Student questionnaire,Categorical,0.13073911,0.11505963,0.06589631,0.08124807,0.06417625,0.06443769,0.06028476,0.06441811,0.10380257,0.06807512,No,No,No,Materials in class: library books
67,a11c,Student questionnaire,Categorical,0.13954968,0.12008112,0.06589631,0.08124807,0.06417625,0.06413374,0.06028476,0.06502583,0.10365147,0.06866197,No,No,No,Materials in class: newspapers or magazines
68,a11d,Student questionnaire,Categorical,0.14473813,0.12032253,0.06589631,0.08124807,0.06417625,0.06170213,0.06028476,0.06259496,0.10133468,0.06866197,No,No,No,Materials in class: computers or tablets
69,a11e,Student questionnaire,Categorical,0.13592756,0.11525276,0.06589631,0.08124807,0.06417625,0.06261398,0.06028476,0.06532969,0.10360111,0.06836854,No,No,No,Materials in class: videos
70,a11f,Student questionnaire,Categorical,0.13592756,0.11650814,0.06589631,0.08124807,1,1,0.06028476,1,0.10370184,1,No,No,No,Materials in class: school agenda
71,a11g,Student questionnaire,Categorical,0.13622124,0.11645985,1,1,1,1,1,1,1,1,No,No,No,Materials in class: material prepared by the teacher
72,a11h,Student questionnaire,Categorical,0.13181596,0.11182463,0.06589631,0.08124807,0.06417625,0.05653495,0.05967889,0.06320267,0.10178796,0.06836854,No,No,No,Materials in class: digital whiteboard
73,a12a,Student questionnaire,Categorical,0.12486539,0.11114866,1,0.08124807,0.06417625,1,0.06119358,0.06563355,0.11029967,0.06983568,No,No,No,Evaluation: They ask us about what we know before starting a topic
74,a12b,Student questionnaire,Categorical,0.1268233,0.10796195,1,0.08124807,0.06417625,1,0.06119358,0.06532969,0.10999748,0.06954225,No,No,No,Evaluation: We are examined after each topic
75,a12c,Student questionnaire,Categorical,0.13675967,0.11945343,1,0.08124807,0.06417625,1,0.06240533,0.06532969,0.11105515,0.07012911,No,No,No,Evaluation: We have a single exam in each trimester
76,a12d,Student questionnaire,Categorical,0.1350465,0.11684612,1,0.08124807,0.06417625,1,0.06210239,0.06563355,0.11085369,0.06983568,No,No,No,Evaluation: They correct our homework and notebooks
77,a12e,Student questionnaire,Categorical,0.13636809,0.11718411,1,0.08124807,0.06417625,1,0.06210239,0.06532969,0.11140771,0.07071596,No,No,No,Evaluation: They review the activities that we do in class
78,a12f,Student questionnaire,Categorical,0.14033284,0.11645985,1,0.08124807,0.06417625,1,0.06210239,0.06563355,0.11140771,0.06983568,No,No,No,Evaluation: We have oral exams
79,a12g,Student questionnaire,Categorical,0.13837494,0.11708754,1,0.08124807,0.06417625,1,0.06179945,0.06593741,0.11201209,0.07071596,No,No,No,Evaluation: They take into account our self-evaluation
80,a12h,Student questionnaire,Categorical,0.13553598,0.11196948,1,0.08124807,0.06417625,1,0.06149652,0.06532969,0.11160917,0.07042254,No,No,No,Evaluation: They value interest and participation in class
81,a12i,Student questionnaire,Categorical,0.13641703,0.1122109,1,0.08124807,0.06417625,1,0.06149652,0.06563355,0.1117099,0.07071596,No,No,No,Evaluation: Our behavior influences the scores
82,a13a,Student questionnaire,Categorical,0.12104748,0.1075274,1,1,1,1,1,1,1,1,No,No,No,Degree of agreement: We get along  with teachers
83,a13b,Student questionnaire,Categorical,0.12755751,0.10878277,1,1,1,1,1,1,1,1,No,No,No,Degree of agreement: Teachers care about us
84,a13c,Student questionnaire,Categorical,0.13000489,0.11187292,1,1,1,1,1,1,1,1,No,No,No,Degree of agreement: Teachers listen to us
85,a13d,Student questionnaire,Categorical,0.13245228,0.11303172,1,1,1,1,1,1,1,1,No,No,No,Degree of agreement: I receive help from my teachers
86,a13e,Student questionnaire,Categorical,0.1319628,0.11245232,0.06589631,0.08124807,0.06417625,1,0.0605877,0.06016408,0.10712667,0.06396714,No,No,No,Degree of agreement: The teachers are fair
87,a14a,Student questionnaire,Categorical,0.11899168,0.10805852,0.06589631,0.08124807,0.06417625,0.0550152,0.05967889,0.05925251,0.1039033,0.06455399,No,Yes,No,Degree of agreement: I make friends easily
88,a14b,Student questionnaire,Categorical,0.13543808,0.11617015,0.06589631,0.08124807,0.06417625,1,0.05998182,0.05986022,0.10440695,0.06484742,No,Yes,No,Degree of agreement: I feel comfortable with my classmates
89,a14c,Student questionnaire,Categorical,0.160744,0.14320892,1,1,1,1,1,1,1,1,No,Yes,No,Degree of agreement: I feel alone
90,a14d,Student questionnaire,Categorical,0.13622124,0.11747381,0.06589631,0.08124807,0.06417625,1,0.06028476,1,0.10531352,1,No,Yes,No,Degree of agreement: My classmates leave me out of their games
91,a14e,Student questionnaire,Categorical,0.1318649,0.11312829,0.06589631,0.08124807,0.06417625,1,0.05998182,0.05955637,0.10541425,0.06543427,No,Yes,No,Degree of agreement: I am afraid of my classmates
92,a14f,Student questionnaire,Categorical,0.13235438,0.1122109,0.06589631,0.08124807,0.06417625,1,0.06028476,0.05955637,0.10576681,0.06455399,No,Yes,No,Degree of agreement: The attitude of my classmates towards me bothers me
93,a14g,Student questionnaire,Categorical,0.13117964,0.11322486,0.06589631,0.08124807,1,1,0.05998182,1,0.10702594,1,No,Yes,No,Degree of agreement: I like to be with my classmates
94,a14h,Student questionnaire,Categorical,0.13215859,0.11095553,0.06589631,0.08124807,0.06417625,0.05896657,0.05998182,0.05986022,0.1059179,0.06514085,No,Yes,No,Degree of agreement: My classmates help me in class
95,a15a,Student questionnaire,Categorical,0.12354381,0.11201777,0.06589631,0.08124807,1,1,0.06089064,1,0.10858726,1,No,No,No,Degree of agreement: I know what my teachers expect me to do
96,a15b,Student questionnaire,Categorical,0.12506118,0.10825165,0.06589631,0.08124807,1,0.05258359,0.06028476,1,0.10843616,1,No,No,No,Degree of agreement: It is easy to understand my teachers
97,a15c,Student questionnaire,Categorical,0.12853647,0.11211434,0.06589631,0.08124807,1,1,0.06089064,1,0.10888945,1,No,No,No,Degree of agreement: I am interested in what my teachers say
98,a15d,Student questionnaire,Categorical,0.13020069,0.11283859,0.06589631,0.08124807,1,0.0550152,0.06089064,1,0.10893981,1,No,No,No,Degree of agreement: My teachers propose interesting things
99,a15e,Student questionnaire,Categorical,0.12834068,0.10883106,0.06589631,0.08124807,1,1,0.06089064,1,0.109242,1,No,No,No,Degree of agreement: My teachers clearly answer my questions
100,a15f,Student questionnaire,Categorical,0.12726383,0.10936217,0.06589631,0.08124807,1,0.05714286,0.06089064,1,0.10934273,1,No,No,No,Degree of agreement: My teachers are good at explaining
101,a15g,Student questionnaire,Categorical,0.13005384,0.1110521,0.06589631,0.08124807,1,1,0.06089064,1,0.10969529,1,No,No,No,Degree of agreement: My teachers let me demonstrate what I have learned
102,a15h,Student questionnaire,Categorical,0.13010279,0.11245232,0.06589631,0.08124807,1,1,0.06089064,1,0.10964493,1,No,No,No,Degree of agreement: My teachers do different things to help us learn
103,a15i,Student questionnaire,Categorical,0.13054332,0.1119212,0.06589631,0.08124807,1,0.05410334,0.06119358,1,0.10969529,1,No,No,No,Degree of agreement: My teachers tell me how to improve when I am wrong
104,a15j,Student questionnaire,Categorical,0.13352912,0.11370769,0.06589631,0.08124807,1,1,0.06119358,1,0.11009821,1,No,No,No,Degree of agreement: My teachers listen to me
105,a16a,Student questionnaire,Categorical,0.11997063,0.10868621,1,1,1,1,1,1,1,1,No,No,No,Degree of agreement: The activities are fun
106,a16b,Student questionnaire,Categorical,0.12501224,0.11182463,0.06589631,0.08124807,0.06417625,0.0556231,0.05998182,0.06320267,0.10350038,0.06748826,No,No,No,Degree of agreement: The teacher is happy with the group
107,a16c,Student questionnaire,Categorical,0.12608908,0.11143837,0.06589631,0.08124807,0.06417625,0.05744681,0.06028476,0.06381039,0.10420549,0.06836854,No,No,No,Degree of agreement: Students participate in decision-making
108,a16d,Student questionnaire,Categorical,0.12853647,0.11341799,1,1,0.06417625,1,1,1,1,1,No,No,No,Degree of agreement: Students help each other
109,a16e,Student questionnaire,Categorical,0.12966226,0.11351456,0.06589631,0.08124807,0.06417625,0.05683891,0.05998182,0.06411425,0.10435659,0.06807512,No,No,No,Degree of agreement: In my class they respect me and I feel safe
110,a16f,Student questionnaire,Categorical,0.1287812,0.11361112,0.06589631,0.08124807,1,0.05471125,0.06028476,1,0.10480987,1,No,No,No,Degree of agreement: I like the organization and decoration of my class
111,a16g,Student questionnaire,Categorical,0.12873226,0.11259717,0.06589631,0.08124807,1,0.05531915,0.05998182,1,0.10430622,1,No,No,No,Degree of agreement: I really like working in class
112,a16h,Student questionnaire,Categorical,0.12922173,0.11327314,0.06589631,0.08124807,0.06417625,0.05987842,0.06028476,0.05986022,0.10637119,0.06514085,No,No,No,Degree of agreement: In class there is a good working environment
113,a16i,Student questionnaire,Categorical,1,1,1,1,0.06417625,1,1,0.06381039,1,0.06778169,No,No,No,Degree of agreement: I really like the work in mathematics
114,a16j,Student questionnaire,Categorical,1,1,1,1,0.06417625,1,1,0.06350653,1,0.06748826,No,No,No,Degree of agreement:  I really like the spanish language work
115,a16k,Student questionnaire,Categorical,1,1,1,1,0.06417625,1,0.06119358,1,0.11191136,1,No,No,No,Degree of agreement: I really like the english work
116,a16l,Student questionnaire,Categorical,1,1,1,1,0.06417625,1,1,0.06350653,1,0.06719484,No,No,No,Degree of agreement: I really like the work in geography and history
117,a17a,Student questionnaire,Categorical,0.11669114,0.10443726,0.06589631,0.08124807,0.06417625,1,0.05998182,0.05986022,0.10763032,0.06426056,No,No,No,Degree of agreement: In my school there are appropriate rules/norms
118,a17b,Student questionnaire,Categorical,0.12173275,0.10661001,1,1,1,1,1,1,1,1,No,Yes,No,Degree of agreement: My school is very good
119,a17c,Student questionnaire,Categorical,0.12922173,0.11187292,0.06589631,0.08124807,0.06417625,1,0.05998182,0.05894865,0.10586754,0.06367371,No,Yes,No,Degree of agreement: I like being in this school
120,a17d,Student questionnaire,Categorical,0.12662751,0.11013471,0.06589631,0.08124807,0.06417625,1,0.06028476,0.06016408,0.10763032,0.06426056,No,Yes,No,Degree of agreement: I would like to change to other school
121,a17e,Student questionnaire,Categorical,0.12995595,0.11124523,0.06589631,0.08124807,0.06417625,1,0.06028476,0.05925251,0.10632083,0.06455399,No,Yes,No,Degree of agreement: I feel safe in this school
122,a17f,Student questionnaire,Categorical,0.13162017,0.11390083,0.06589631,0.08124807,0.06417625,1,0.06028476,0.05925251,0.10662302,0.06455399,No,Yes,No,Degree of agreement: I feel part of this school
123,a17g,Student questionnaire,Categorical,0.12530592,0.10868621,0.06589631,0.08124807,0.06417625,1,0.06028476,0.0607718,0.10732813,0.06426056,No,Yes,No,Degree of agreement: I am proud to go to this school
124,a17h,Student questionnaire,Categorical,0.12667646,0.10854135,0.06589631,0.08124807,1,1,0.06028476,1,0.10803324,1,No,Yes,No,Degree of agreement: I learn a lot at school
125,a20a,Student questionnaire,Categorical,1,1,0.06589631,0.08124807,1,0.056231,0.06210239,1,0.11150844,1,No,Yes,No,Degree of agreement: I am a good student in mathematics
126,a20b,Student questionnaire,Categorical,1,1,0.06589631,0.08124807,1,1,1,1,1,1,No,Yes,No,Degree of agreement: I wish I did not have mathematics
127,a20c,Student questionnaire,Categorical,1,1,0.06589631,0.08124807,1,0.05835866,0.06210239,1,0.11191136,1,No,Yes,No,Degree of agreement: Mathematics is more difficult for me than for my classmates
128,a20d,Student questionnaire,Categorical,1,1,0.06589631,0.08124807,1,0.056231,0.06210239,1,0.11226391,1,No,Yes,No,Degree of agreement: Mathematics is more difficult than other subjects
129,a20e,Student questionnaire,Categorical,1,1,0.06589631,0.08124807,1,0.05714286,0.06179945,1,0.11176026,1,No,Yes,No,Degree of agreement: I like studying in the math class
130,a21a,Student questionnaire,Categorical,1,1,0.06589631,0.08124807,1,1,1,1,1,1,No,Yes,No,Degree of agreement: I read because I have to
131,a21b,Student questionnaire,Categorical,1,1,0.06589631,0.08124807,1,0.056231,0.06179945,1,0.11135734,1,No,Yes,No,Degree of agreement: I read very well
132,a21c,Student questionnaire,Categorical,1,1,0.06589631,0.08124807,1,0.05866261,0.06179945,1,0.11231428,1,No,Yes,No,Degree of agreement: Language is more difficult for me than for my classmates
133,a21d,Student questionnaire,Categorical,1,1,0.06589631,0.08124807,1,1,1,1,1,1,No,Yes,No,Degree of agreement: It is difficult for me to read
134,a21e,Student questionnaire,Categorical,1,1,0.06589631,0.08124807,1,0.05683891,0.06210239,1,0.1127172,1,No,Yes,No,Degree of agreement: Language is more difficult than other subjects
135,a22a,Student questionnaire,Categorical,1,1,1,0.08124807,1,1,0.06149652,1,0.11165953,1,No,Yes,No,Degree of agreement: I am a good student in Natural Sciences
136,a22b,Student questionnaire,Categorical,1,1,1,0.08124807,1,1,1,1,1,1,No,Yes,No,Degree of agreement: I wish I dit not have Nature Sciences
137,a22c,Student questionnaire,Categorical,1,1,1,0.08124807,1,1,0.06179945,1,0.11266683,1,No,Yes,No,Degree of agreement: Natural Sciences is more difficult for me than for my classmates
138,a22d,Student questionnaire,Categorical,1,1,1,0.08124807,1,1,0.06149652,1,0.11281793,1,No,Yes,No,Degree of agreement: Natural Sciences is more difficult than other subjects
139,a23a,Student questionnaire,Categorical,1,1,1,1,0.06417625,1,1,0.06654512,1,0.07159624,No,Yes,No,Degree of agreement: I am concerned that the written tests are difficult
140,a23b,Student questionnaire,Categorical,1,1,1,1,0.06417625,1,1,0.06654512,1,0.07130282,No,Yes,No,Degree of agreement: In the written tests I feel very nervous
141,a23c,Student questionnaire,Categorical,1,1,1,1,0.06417625,1,1,0.06806442,1,0.07130282,No,Yes,No,Degree of agreement: I want to have the best scores in my class
142,a23d,Student questionnaire,Categorical,1,1,1,1,0.06417625,1,1,0.06715284,1,0.07188967,No,Yes,No,Degree of agreement: I want to have the best scores possible
143,a23e,Student questionnaire,Categorical,1,1,1,1,0.06417625,1,1,0.06776056,1,0.07306338,No,No,No,Degree of agreement: I prefer to work individually than in a group
144,a23f,Student questionnaire,Categorical,1,1,1,1,0.06417625,1,1,1,1,1,No,No,No,Degree of agreement: I listen to others
145,a23g,Student questionnaire,Categorical,1,1,1,1,0.06417625,1,1,0.06776056,1,0.0721831,No,No,No,Degree of agreement: I like to know different points of view
146,a23h,Student questionnaire,Categorical,1,1,1,1,0.06417625,1,1,0.06836828,1,0.07276995,No,No,No,Degree of agreement: I take into account the opinions and interests of my classmates
147,a23i,Student questionnaire,Categorical,1,1,1,1,0.06417625,1,1,1,1,1,No,No,No,Degree of agreement: I like cooperative work
148,a23j,Student questionnaire,Categorical,1,1,1,1,0.06417625,1,1,0.0674567,1,0.07276995,No,No,No,Degree of agreement: Better decisions are taken in a group than individually
149,a23k,Student questionnaire,Categorical,1,1,1,1,1,1,1,0.06806442,1,0.07247653,No,Yes,No,Degree of agreement: I am happy with the scores I have
150,a24,Student questionnaire,Categorical,1,1,1,1,0.08429119,1,1,0.06867214,1,0.07247653,Yes,Yes,No,Studies that I will do next year
151,a40a,Student questionnaire,Categorical,1,1,1,1,0.06417625,1,1,0.05925251,1,0.06514085,No,Yes,No,Degree of agreement: I use social media networks with my classmates
152,a40b,Student questionnaire,Categorical,1,1,1,1,0.06417625,1,1,0.05925251,1,0.06543427,No,Yes,No,Degree of agreement: I am affected by the use of social media networks in my day-to-day life at the school
153,a40c,Student questionnaire,Categorical,1,1,1,1,0.06417625,1,1,0.05955637,1,0.06602113,No,Yes,No,Degree of agreement: I have ever felt hurt on social media networks
154,a40d,Student questionnaire,Categorical,1,1,1,1,1,1,1,0.05986022,1,0.06602113,No,Yes,No,Degree of agreement: I dedicate a lot of time in my day to day to the use of social media networks
155,a41,Student questionnaire,Categorical,1,1,1,1,0.06417625,1,1,0.0674567,1,0.0786385,Yes,Yes,No,I repeated in primary education
156,a42,Student questionnaire,Categorical,1,1,1,1,0.06417625,1,1,0.06411425,1,0.06983568,Yes,Yes,No,I repeated in secondary education
157,a51,Student questionnaire,Categorical,1,1,1,1,0.06417625,1,1,0.05894865,1,0.06191315,No,Yes,No,Unexcused absences during trimester
158,a61,Student questionnaire,Categorical,0.38986784,0.24624596,0.43347908,0.2347853,0.06417625,1,1,0.05712549,1,0.06191315,No,Yes,No,Homework hours per week
159,a71,Student questionnaire,Categorical,1,1,1,1,1,1,0.05786125,1,0.09947117,1,No,Yes,No,Homework time per day
160,a111a,Student questionnaire,Categorical,1,1,1,1,1,0.06291793,0.05998182,1,0.10284563,1,No,No,No,Degree of agreement: Use of activity booklet
